,mapper1,mapper2,Unnamed: 0,weight,avgDistance
184,danolad,wisniewskin,517,1,0.00153299133336111
185,dativa chuwa,lani_martin,518,1,0.00640994937165352
186,david nickywoods,hills95,519,1,0.0021107936186706
187,david nickywoods,juweni,520,1,0.00133184084672687
188,david nickywoods,nabulo carol,1043,2,0.0051557457410663496
189,david nickywoods,patrick etomet,523,1,0.00737685288177406
190,deioncc,jpgehringer5,1049,2,0.0073416882349285305
191,deioncc,nabulo carol,526,1,0.00133956432772256
192,deioncc,tomm4,527,1,0.00160932120805226
193,dygeza,juweni,528,1,0.0012256723845438199
194,dygeza,prosper1994,529,1,0.0013110843126433699
195,dygeza,siima,530,1,0.0018303387515614
196,ealienhard,jabahum,531,1,0.0011028691220624
197,ealienhard,nabulo carol,532,1,0.00134975183900956
198,ealienhard,smart d,533,1,0.00112238921342256
199,edgar collins,hills95,1069,2,0.009932119634918891
200,edgar collins,moses kitwi,536,1,0.00358757857671869
201,edgar collins,nabulo carol,537,1,0.0120974868747418
202,edict01,enock4seth,1077,2,0.011904813006339141
203,edict01,hills95,540,1,0.0129936036416803
204,edict01,kantwi,541,1,0.00696419479433553
205,edict01,kiggudde,542,1,0.0114666956317142
206,edict01,kylerallen,543,1,0.00261952264759163
207,ehruhm,yukiejiang,544,1,0.00222050651110517
208,emily glaeser,lani_martin,1091,2,0.00472630498250556
209,enock4seth,iamenochmd,1644,3,0.0068580603770066
210,enock4seth,kantwi,1653,3,0.01001966333835449
211,enock4seth,kwaku_boateng,1662,3,0.0045705507890898694
212,enock4seth,pkodame,2230,4,0.01707868919895493
213,enock4seth,wisniewskin,1683,3,0.00735055809891034
214,esmanov,hills95,563,1,0.00107037339890386
215,esmanov,juliakleine,1129,2,0.0029912645359636697
216,esmanov,nababi tracy,566,1,0.00140634528932366
217,esmanov,nabulo carol,567,1,0.0011214298894432302
218,esmanov,patrick etomet,1137,2,0.00263632493630402
219,esther goga,lani_martin,570,1,0.00487601582556461
220,esunget,lakwera,571,1,0.00442843494242283
221,esunget,mugabi henry,572,1,0.00208034722545133
222,esunget,shamillah,573,1,0.0010800954779036
223,evlyn tumwah,juweni,574,1,0.00118936949069498
224,evlyn tumwah,kaluba micheal,575,1,0.00979842550562875
225,evlyn tumwah,klain890,1153,2,0.0039712018692290695
226,evlyn tumwah,mugabi henry,578,1,0.0011260284886219802
227,evlyn tumwah,prosper1994,579,1,0.00123037808462286
228,eyevan,hills95,1161,2,0.00410845816626584
229,eyevan,kombe1207,582,1,0.0082339178394259
230,eyevan,nababi tracy,583,1,0.00407802617184045
231,eyevan,nabulo carol,584,1,0.0024068226147133
232,fabio cattaneo,judithkamugisha,585,1,0.00124558776721187
233,farydh,hills95,586,1,0.00309148800813777
234,farydh,nababi tracy,1175,2,0.00536647365546351
235,fliant,hills95,2362,4,0.013796422008336293
236,fliant,nababi tracy,593,1,0.00260089922481959
237,fliant,nabulo carol,594,1,0.00155760303078275
238,fliant,naturinda,1191,2,0.00201859013928982
239,fliant,prosper1994,597,1,0.0045105130855274105
240,fliant,siima,1797,3,0.00595671819997946
241,fliant,tars4815,601,1,0.00134046822496978
242,frafra,hills95,602,1,0.00113545685182305
243,francal,hills95,603,1,0.00106852403315356
244,gaurab basnet,jpierel14,604,1,0.00290737494566512
245,gaurab basnet,rasouth,605,1,0.00129617009195629
246,gaurab basnet,tomm4,606,1,0.00105208888424573
247,godenfiles,hills95,607,1,0.00264029058362442
248,godenfiles,nabulo carol,608,1,0.0010344386956539998
249,har9075,judithkamugisha,609,1,0.00109910146202772
250,har9075,naturinda,610,1,0.00106765276415173
251,hills95,ingrid k,611,1,0.00105411879982921
252,hills95,jkalz,612,1,0.00105161747673966
253,hills95,judithkamugisha,10557,17,0.05315611731984308
254,hills95,juliakleine,1893,3,0.00430944292981546
255,hills95,juweni,12198,19,0.0398276762637986
256,hills95,kaluba micheal,9885,15,0.04811727509325397
257,hills95,kiggudde,13530,20,0.05177593452069124
258,hills95,kirbyk,687,1,0.00208950533618421
259,hills95,klain890,10425,15,0.02789447686163828
260,hills95,kombe1207,2112,3,0.01530122483124158
261,hills95,kyasiikane jorun,1413,2,0.0024889434163677102
262,hills95,kylerallen,708,1,0.00229916839221546
263,hills95,lani_martin,709,1,0.00226659087852523
264,hills95,manirakiza moses,2133,3,0.00339456437191611
265,hills95,michaels bus,713,1,0.00113339658504567
266,hills95,mugabi henry,10815,15,0.0396825668780769
267,hills95,musawo,3655,5,0.01292591904277391
268,hills95,naturinda,14117,19,0.036574143180468324
269,hills95,nawinecoff,1507,2,0.00406251218857183
270,hills95,netondo,755,1,0.0072124117151006
271,hills95,osm ebenezer,756,1,0.0034925915667672397
272,hills95,patrick etomet,3795,5,0.014551223065195242
273,hills95,pkodame,762,1,0.00132093103207764
274,hills95,premson,763,1,0.0012939535402813301
275,hills95,prosper1994,14687,19,0.05106847411468876
276,hills95,richard dalmat,783,1,0.00445282266379728
277,hills95,shamillah,15067,19,0.0552276751707869
278,hills95,siima,17897,22,0.07168466476440058
279,hills95,smart d,825,1,0.00166120343066728
280,hills95,tars4815,1653,2,0.0033686583161399502
281,hills95,tomm4,828,1,0.00527306930753081
282,hills95,yusuf hamba,829,1,0.00100397339328108
283,iamenochmd,kantwi,830,1,0.00590011667649578
284,ingrid k,nababi tracy,831,1,0.00143519017876427
285,ingrid k,patrick etomet,832,1,0.00302760150873645
