,mapper1,mapper2,datemapped,weight,avgDistance
291,coleedwards920,kwaku_boateng,2016-12-04,222,0.00459445003678073
292,coleedwards920,kwaku_boateng,2016-12-05,740,0.0020362121523115
293,coleedwards920,kwaku_boateng,2016-12-07,484,0.00770717766127501
294,coleedwards920,nawinecoff,2016-09-22,32,0.0011100502312457
295,coleedwards920,pkodame,2016-11-03,2449,0.00331448067721535
296,coleedwards920,pkodame,2016-11-30,5110,0.00412068895481979
297,coleedwards920,pkodame,2016-12-01,7759,0.00370685615747288
298,coleedwards920,pkodame,2016-12-02,226,0.00263926286513509
299,coleedwards920,pkodame,2016-12-04,1523,0.00504050482176948
300,coleedwards920,pkodame,2016-12-05,4708,0.00304405096473274
301,coleedwards920,pkodame,2016-12-07,4569,0.00294260226470296
302,coleedwards920,tomm4,2016-09-22,20498,0.0016121246415433
303,danieleoxoli,judithkamugisha,2017-03-21,526,0.00106145522922857
304,danieleoxoli,mugabi henry,2015-12-14,25,0.00124105454367997
305,danieleoxoli,nabulo carol,2017-03-21,2176,0.00308216758802229
306,danielzyt,dygeza,2017-01-11,2,0.00169078259153111
307,danielzyt,evlyn tumwah,2017-09-12,30696,0.00145874940255664
308,danielzyt,evlyn tumwah,2017-09-13,14850,0.00162023238157996
309,danielzyt,farydh,2016-12-17,126,0.00117381860230362
310,danielzyt,hills95,2016-09-07,12202,0.00124963200907082
311,danielzyt,hills95,2016-09-17,3560,0.00107098939437289
312,danielzyt,hills95,2016-10-21,64,0.0024700942161323
313,danielzyt,hills95,2016-10-22,1163,0.00108694853128348
314,danielzyt,hills95,2016-12-17,385019,0.00193375484987239
315,danielzyt,hills95,2017-01-10,7454,0.00211721726706082
316,danielzyt,hills95,2017-01-11,188400,0.00189239375660031
317,danielzyt,hills95,2017-02-06,7559,0.0060556417330651
318,danielzyt,hills95,2017-02-07,19,0.00101128903206146
319,danielzyt,hills95,2017-02-09,19853,0.00149798937073681
320,danielzyt,hills95,2017-02-11,121,0.00107854765541254
321,danielzyt,hills95,2017-02-12,2458,0.00367652914339197
322,danielzyt,hills95,2017-02-14,13939,0.00206647411357741
323,danielzyt,hills95,2017-02-15,1484,0.00439996784804649
324,danielzyt,hills95,2017-02-16,254,0.00106409981394536
325,danielzyt,hills95,2017-02-19,3100,0.00107661346195115
326,danielzyt,hills95,2017-02-23,544,0.00137799241868636
327,danielzyt,hills95,2017-03-03,28,0.00106224168188976
328,danielzyt,hills95,2017-03-08,12801,0.00205692279528886
329,danielzyt,hills95,2017-03-17,1200,0.00144626681163065
330,danielzyt,hills95,2017-04-07,848,0.00128039275877635
331,danielzyt,hills95,2017-04-09,36790,0.00137199070296182
332,danielzyt,hills95,2017-04-11,506187,0.0026169614262217
333,danielzyt,hills95,2017-04-14,162,0.00122154354170593
334,danielzyt,hills95,2017-04-30,46043,0.00181122166889847
335,danielzyt,hills95,2017-05-30,21866,0.00122884592258546
336,danielzyt,hills95,2017-05-31,79577,0.00161664882194862
337,danielzyt,hills95,2017-06-02,83587,0.00581026012622276
338,danielzyt,hills95,2017-06-03,3904,0.00394987470788462
339,danielzyt,hills95,2017-06-04,16823,0.00130407375991965
340,danielzyt,hills95,2017-06-05,43119,0.00164957660022616
341,danielzyt,hills95,2017-06-07,73079,0.0020751097894207
342,danielzyt,hills95,2017-06-08,108012,0.00207768754585993
343,danielzyt,hills95,2017-06-09,12678118,0.00180223585122029
344,danielzyt,hills95,2017-06-11,195374,0.00203266813524852
345,danielzyt,hills95,2017-06-12,5622,0.00297778424873157
346,danielzyt,hills95,2017-06-13,164033,0.00181705120551377
347,danielzyt,hills95,2017-06-15,115965,0.00544071190370133
348,danielzyt,hills95,2017-06-16,39951,0.00155178888007118
349,danielzyt,hills95,2017-06-20,676081,0.00165139363610521
350,danielzyt,hills95,2017-06-28,19584,0.00187338027521376
